Feature,Category,Seed_Count (500),Seed_Pct,CTGAN_Count (2500),CTGAN_Pct,CTGAN_Delta_pp,GaussianCopula_Count (2500),GaussianCopula_Pct,GaussianCopula_Delta_pp,TVAE_Count (2500),TVAE_Pct,TVAE_Delta_pp
Monthly Income,"Rs.250,000–399,999",87,17.4,393,15.72,-1.68,444,17.76,0.36,475,19.0,1.6
Monthly Income,"Rs.400,000–599,999",63,12.6,345,13.8,1.2,329,13.16,0.56,75,3.0,-9.6
Monthly Income,"Rs.50,000–99,999",66,13.2,360,14.4,1.2,315,12.6,-0.6,155,6.2,-7.0
Monthly Income,"Rs.600,000–999,999",23,4.6,100,4.0,-0.6,97,3.88,-0.72,0,0.0,-4.6
Existing Loan Status,No,318,63.6,1297,51.88,-11.72,1529,61.16,-2.44,1726,69.04,5.44
Existing Loan Status,Yes,182,36.4,1203,48.12,11.72,971,38.84,2.44,774,30.96,-5.44
Monthly Loan Repayment,"Below Rs.10,000",22,4.4,139,5.56,1.16,133,5.32,0.92,8,0.32,-4.08
Monthly Loan Repayment,No existing loan,318,63.6,1549,61.96,-1.64,1531,61.24,-2.36,2012,80.48,16.88
Monthly Loan Repayment,"Rs.10,000–24,999",45,9.0,204,8.16,-0.84,260,10.4,1.4,226,9.04,0.04
Monthly Loan Repayment,"Rs.100,000+",12,2.4,87,3.48,1.08,76,3.04,0.64,0,0.0,-2.4
Monthly Loan Repayment,"Rs.25,000–49,999",40,8.0,212,8.48,0.48,171,6.84,-1.16,123,4.92,-3.08
Monthly Loan Repayment,"Rs.50,000–74,999",40,8.0,211,8.44,0.44,215,8.6,0.6,129,5.16,-2.84
Monthly Loan Repayment,"Rs.75,000–99,999",23,4.6,98,3.92,-0.68,114,4.56,-0.04,2,0.08,-4.52
Loan Type,Agricultural,47,9.4,228,9.12,-0.28,249,9.96,0.56,232,9.28,-0.12
Loan Type,Business,79,15.8,384,15.36,-0.44,384,15.36,-0.44,326,13.04,-2.76
Loan Type,Education,35,7.0,174,6.96,-0.04,197,7.88,0.88,46,1.84,-5.16
Loan Type,Housing,88,17.6,518,20.72,3.12,419,16.76,-0.84,458,18.32,0.72
Loan Type,Other,29,5.8,128,5.12,-0.68,138,5.52,-0.28,57,2.28,-3.52
Loan Type,Personal,149,29.8,703,28.12,-1.68,711,28.44,-1.36,1085,43.4,13.6
Loan Type,Vehicle,73,14.6,365,14.6,0.0,402,16.08,1.48,296,11.84,-2.76
Requested Loan Amount,"Below Rs.500,000",61,12.2,272,10.88,-1.32,295,11.8,-0.4,187,7.48,-4.72
Requested Loan Amount,"Rs.1,000,000–4,999,999",113,22.6,551,22.04,-0.56,534,21.36,-1.24,827,33.08,10.48
Requested Loan Amount,"Rs.10,000,000–24,999,999",67,13.4,285,11.4,-2.0,344,13.76,0.36,416,16.64,3.24
Requested Loan Amount,"Rs.100,000,000 or above",4,0.8,25,1.0,0.2,20,0.8,0.0,0,0.0,-0.8
Requested Loan Amount,"Rs.25,000,000–49,999,999",45,9.0,238,9.52,0.52,217,8.68,-0.32,130,5.2,-3.8
Requested Loan Amount,"Rs.5,000,000–9,999,999",78,15.6,458,18.32,2.72,392,15.68,0.08,372,14.88,-0.72
Requested Loan Amount,"Rs.50,000,000–74,999,999",19,3.8,103,4.12,0.32,131,5.24,1.44,6,0.24,-3.56
Requested Loan Amount,"Rs.500,000–999,999",100,20.0,517,20.68,0.68,487,19.48,-0.52,562,22.48,2.48
Requested Loan Amount,"Rs.75,000,000–99,999,999",13,2.6,51,2.04,-0.56,80,3.2,0.6,0,0.0,-2.6
Loan Purpose,Agriculture,49,9.8,239,9.56,-0.24,239,9.56,-0.24,269,10.76,0.96
Loan Purpose,Business investment,84,16.8,431,17.24,0.44,426,17.04,0.24,395,15.8,-1.0
Loan Purpose,Debt consolidation,47,9.4,245,9.8,0.4,257,10.28,0.88,363,14.52,5.12
Loan Purpose,Education,38,7.6,170,6.8,-0.8,199,7.96,0.36,149,5.96,-1.64
Loan Purpose,House purchase/construction,90,18.0,427,17.08,-0.92,426,17.04,-0.96,553,22.12,4.12
Loan Purpose,Medical expenses,36,7.2,164,6.56,-0.64,179,7.16,-0.04,82,3.28,-3.92
Loan Purpose,Other,40,8.0,249,9.96,1.96,210,8.4,0.4,70,2.8,-5.2
Loan Purpose,Personal expenses,40,8.0,206,8.24,0.24,185,7.4,-0.6,176,7.04,-0.96
Loan Purpose,Vehicle purchase,76,15.2,369,14.76,-0.44,379,15.16,-0.04,443,17.72,2.52
Collateral Availability,No,209,41.8,993,39.72,-2.08,1089,43.56,1.76,1003,40.12,-1.68
Collateral Availability,Not applicable / Not required,30,6.0,205,8.2,2.2,135,5.4,-0.6,19,0.76,-5.24
Collateral Availability,Yes,261,52.2,1302,52.08,-0.12,1276,51.04,-1.16,1478,59.12,6.92
Guarantor Availability,No,346,69.2,1648,65.92,-3.28,1772,70.88,1.68,2473,98.92,29.72
Guarantor Availability,Yes,154,30.8,852,34.08,3.28,728,29.12,-1.68,27,1.08,-29.72
Required Documents Submitted,"No, some missing",26,5.2,130,5.2,0.0,150,6.0,0.8,0,0.0,-5.2
Required Documents Submitted,Not sure,48,9.6,236,9.44,-0.16,241,9.64,0.04,0,0.0,-9.6
Required Documents Submitted,"Yes, all",426,85.2,2134,85.36,0.16,2109,84.36,-0.84,2500,100.0,14.8
Loan Application Result,Approved,232,46.4,813,32.52,-13.88,1164,46.56,0.16,1095,43.8,-2.6
Loan Application Result,Rejected,268,53.6,1687,67.48,13.88,1336,53.44,-0.16,1405,56.2,2.6
